,user,description,followers,location,text
1719,Dhann_shree,"❝ If you don't understand my words, you will never understand my silence. Life loves it's ways of seeing/loving. !! ❞ ~ Sushant Singh Rajput 🦋

@life_elysian ❤",1888,,"@Tanu4Sush @NiteshNRane @ips_nupurprasad @DrJitendraSingh @DoPTGoI @narendramodi 😄 guess 

Minister Involved In SSR Case"
1720,kjayeshb,"Director, Energy Systems",125,"Maharashtra, India","@RBIsays @FinMinIndia @RBI @PMOIndia @nsitharaman @narendramodi
@rashtrapatibhvn @DFS_INDIA
Incompetent Failure… https://t.co/TRqxk1QwxU"
1721,NuthanSs,Indian,78,"Hyderabad, India","@narendramodi https://t.co/MHkFADglYo
👆PLEASE CLICK And Watch 😭🔥🙏"
1722,RathoreGirwar,"When you focus on problems, you will have more problems.
When you focus on possibilities, you will have more opportunities.",2301,"Ahmadabad City, India",Goood Night @narendramodi ji
1723,Nilkama75562582,it's a millionaire as well as unstoppable boy.,0,"West Bengal, India","Sir, I'm glad to hear your speech.
@narendramodi"
1724,NuthanSs,Indian,78,"Hyderabad, India","@narendramodi https://t.co/MHkFADxXmY
👆PLEASE CLICK And Watch 🔥🔥"
1725,kjayeshb,"Director, Energy Systems",125,"Maharashtra, India","@RBIsays @FinMinIndia @RBI @PMOIndia @nsitharaman @narendramodi
@rashtrapatibhvn @DFS_INDIA
Incompetent Failure… https://t.co/uLkaFYsJXE"
1726,doctorrichabjp,"‘Bhartiya Janata Party’ (BJP), In Politics as Activist ,॥ BHMS ॥ PGP from IIDL ॥ Doctor by profession ॥ Proud Sanghi & Bhakt ॥ धर्मो रक्षति रक्षितः",60193,Lucknow /Kanpur,@narendramodi @ThackerNikhil Modi Ji is looking Ravindranath taigor
1727,DharmaSurya10,Recruitment,15,"New Dehi, India","@ShashiTharoor @narendramodi If @RahulGandhi would have done this, it was imaginable;
@ShashiTharoor doing this is idiosyncrasy!!"
1728,hgoda18,,5,"मुंबई, भारत",@narendramodi Nice
1729,SkSkin1,still i am a proud Indian,86,,"@narendramodi Sir,why not mentioned there about tragedies of Bangladesh Hindus.our government should take steps for… https://t.co/PuN1AGWLWX"
1730,Satwiksahoo4,Student,1,,@raviizhere @ShashiTharoor @narendramodi ya from his heart he spelled 'strength' as 'streanh'. what a mockery peopl… https://t.co/evTp82vWO0
1731,Dhann_shree,"❝ If you don't understand my words, you will never understand my silence. Life loves it's ways of seeing/loving. !! ❞ ~ Sushant Singh Rajput 🦋

@life_elysian ❤",1888,,"@lalitha553322 @NiteshNRane @ips_nupurprasad @DrJitendraSingh @DoPTGoI @narendramodi 😁😁

Minister Involved In SSR Case"
1732,NuthanSs,Indian,78,"Hyderabad, India","@narendramodi https://t.co/MHkFADglYo
👆PLEASE CLICK And Watch 🔥😭"
1733,_ADITICHOURASIA,"#Justice4SSR❤💞❤
DieHardFanOf @itsSSR⭐💫🪐💥🔥🔱🌈✨⚡🌪☄
I AM A PROUD PR OF @itsSSR❤💛❤😎😎😎❤💛❤
My Backup Account: @AChourasia12",570,IN MY OWN WORLD❤💛❤,"@sushantfans2 @narendramodi GREAT👍❤👏
Minister Involved In SSR Case"
1734,GurmitKhera,,38,,"@narendramodi Modi the PM, can you please do something for India rather than destroying the country economically ?"
1735,NEMICHA66641580,I am hard working person,51,,@NITIAayog @IndianExpress @PMOIndia @narendramodi @RajivKumar1 @amitabhk87 @moefcc @UN @UNinIndia @mygovindia… https://t.co/ykBpScrrVV
1736,NuthanSs,Indian,78,"Hyderabad, India","@narendramodi https://t.co/MHkFADglYo
👆PLEASE CLICK And Watch 😭🔥🔥"
1737,Lalit02142329,"Having More knowledge than Current President of @INCIndia

Jai Shree Ram 🚩",36,,@atulahuja_ @sabsemahanjan @narendramodi @JPNadda @JPNaddaOfficial @PMOIndia @BJP4India @TajinderBagga… https://t.co/s4WH9dDN31
1738,GarryMoodley14,,30,9 Blackberry Place Mulberry,@narendramodi You are a man with the golden plan
1739,kjayeshb,"Director, Energy Systems",125,"Maharashtra, India","@RBIsays @FinMinIndia @RBI @PMOIndia @nsitharaman @narendramodi
@rashtrapatibhvn @DFS_INDIA
Incompetent Failure… https://t.co/IHipvkVLfj"
1740,NuthanSs,Indian,78,"Hyderabad, India","@narendramodi https://t.co/MHkFADglYo
👆PLEASE CLICK And Watch 🔥🔥"
1741,Achyutha121,"Hindu, Indian,Human",177,Bharata,"All politicians in India were doing minority appeasement, forgetting majority. I don't find any difference in Modij… https://t.co/IrtE4VMV3V"
1742,NuthanSs,Indian,78,"Hyderabad, India","@narendramodi https://t.co/MHkFADglYo
👆PLEASE CLICK And Watch 😭🙏🔥"
1743,ArpanC007,"Proud Indian.....& an Agile BA
Modi supporter....",15,,@praveen127 @MEAIndia @narendramodi SALA....word used by Mamata Banerjee recently in a public meeting.....
1744,Designguy6,,151,,@iSamirRoy @narendramodi Only sornar Bangla not crooked #TMC cheats
1745,himanshugarg777,"I may disapprove of What You Say, But I Will Defend to the Death Your Right to Say It |",18,Settled in 🇨🇦 ,That’s so simple. Our beloved @narendramodi 😂😂😂 https://t.co/Rky8fQbA0q
1746,ShubhashishSom1,,18,,Today at Central Office Of CBIF. @narendramodi @harshvshringla https://t.co/iHoQTLQI4U
1747,dloka_11,modiji,7,srikalahasti,@narendramodi Good ji 🙏🙏🙏
1748,NuthanSs,Indian,78,"Hyderabad, India","@narendramodi https://t.co/MHkFADglYo
👆PLEASE CLICK And Watch 😭😨"
1749,GeetaMi84756567,,38,,@MrsGandhi @paulagnimitra1 @blsanthosh @sayani06 @JPNadda @narendramodi @AmitShah @smritiirani @KailashOnline… https://t.co/6ODYcMwsDc
1750,itz_anshumaan,🇮🇳INDIAN🇮🇳,26,,"@sunnygrovers @MEAIndia @narendramodi War was faught with the weapons of tax payers, So now ??"
1751,SaffronShield,Structural Engineer👷 Proud disciple of #BapuJi #StaunchHindu & Underrated Archer,2256,"Ahmadabad City, India","@IkramMahi3 @BhavanUtreja @narendramodi Go through the stats displayed on peta site
https://t.co/eCDstuMk18"
1752,Satyavizag1,Proud to be an Indian then hardcore fan of YS JAGAN,34,India,@Sunil_Deodhar @ysjagan @narendramodi @AmitShah @JPNadda @somuveerraju @BJP4Andhra @satyakumar_y @GVLNRAO… https://t.co/8TNPYL6Ktz
1753,DrSRaghavachari,"-Public policy, Science-Technology, economy, education
-Nature, arts, sports
-Medical practitioner
-'Ekam sat vipra bhahuda vadanthi'
-'Sarve bhavanthu sukinah'",2414,,"@narendramodi A historic visit Sir. A truly remarkable diplomatic effort, elevating #NeighbourhoodFirst - act East… https://t.co/b578eXbVJD"
1754,Sumanve90561437,,88,,"#add22000in69000
@rashtrapatibhvn @narendramodi @myogiadityanath @anandibenpatel @DrRPNishank
@drdwivedisatish… https://t.co/w5eKgZuuLS"
